Freq.	V(vout)
1.00000000000000e+002	(-8.94405707596133e-004dB,-6.10464541134068e-001°)
1.00230523807790e+002	(-8.94700384114626e-004dB,-6.11871796389751e-001°)
1.00461579027840e+002	(-8.94996420680735e-004dB,-6.13282295628628e-001°)
1.00693166885180e+002	(-8.95293823599055e-004dB,-6.14696046328333e-001°)
1.00925288607668e+002	(-8.95592599191547e-004dB,-6.16113055983735e-001°)
1.01157945425990e+002	(-8.95892753751237e-004dB,-6.17533332106974e-001°)
1.01391138573668e+002	(-8.96194293689779e-004dB,-6.18956882227500e-001°)
1.01624869287070e+002	(-8.96497225358069e-004dB,-6.20383713892126e-001°)
1.01859138805412e+002	(-8.96801555209234e-004dB,-6.21813834665047e-001°)
1.02093948370768e+002	(-8.97107289684828e-004dB,-6.23247252127900e-001°)
1.02329299228075e+002	(-8.97414435275596e-004dB,-6.24683973879796e-001°)
1.02565192625141e+002	(-8.97722998475175e-004dB,-6.26124007537351e-001°)
1.02801629812647e+002	(-8.98032985841820e-004dB,-6.27567360734747e-001°)
1.03038612044162e+002	(-8.98344403936682e-004dB,-6.29014041123751e-001°)
1.03276140576140e+002	(-8.98657259397104e-004dB,-6.30464056373774e-001°)
1.03514216667934e+002	(-8.98971558805456e-004dB,-6.31917414171893e-001°)
1.03752841581801e+002	(-8.99287308850200e-004dB,-6.33374122222908e-001°)
1.03992016582906e+002	(-8.99604516217868e-004dB,-6.34834188249376e-001°)
1.04231742939330e+002	(-8.99923187665397e-004dB,-6.36297619991657e-001°)
1.04472021922080e+002	(-9.00243329906329e-004dB,-6.37764425207938e-001°)
1.04712854805090e+002	(-9.00564949765115e-004dB,-6.39234611674296e-001°)
1.04954242865232e+002	(-9.00888054030523e-004dB,-6.40708187184727e-001°)
1.05196187382322e+002	(-9.01212649586804e-004dB,-6.42185159551191e-001°)
1.05438689639126e+002	(-9.01538743277702e-004dB,-6.43665536603649e-001°)
1.05681750921366e+002	(-9.01866342048230e-004dB,-6.45149326190115e-001°)
1.05925372517729e+002	(-9.02195452822183e-004dB,-6.46636536176680e-001°)
1.06169555719872e+002	(-9.02526082611123e-004dB,-6.48127174447573e-001°)
1.06414301822431e+002	(-9.02858238389964e-004dB,-6.49621248905189e-001°)
1.06659612123026e+002	(-9.03191927215599e-004dB,-6.51118767470137e-001°)
1.06905487922266e+002	(-9.03527156148781e-004dB,-6.52619738081279e-001°)
1.07151930523760e+002	(-9.03863932311023e-004dB,-6.54124168695778e-001°)
1.07398941234124e+002	(-9.04202262849880e-004dB,-6.55632067289133e-001°)
1.07646521362983e+002	(-9.04542154937983e-004dB,-6.57143441855223e-001°)
1.07894672222983e+002	(-9.04883615763398e-004dB,-6.58658300406351e-001°)
1.08143395129794e+002	(-9.05226652575915e-004dB,-6.60176650973289e-001°)
1.08392691402120e+002	(-9.05571272667760e-004dB,-6.61698501605308e-001°)
1.08642562361706e+002	(-9.05917483317660e-004dB,-6.63223860370245e-001°)
1.08893009333343e+002	(-9.06265291889215e-004dB,-6.64752735354516e-001°)
1.09144033644875e+002	(-9.06614705712269e-004dB,-6.66285134663182e-001°)
1.09395636627209e+002	(-9.06965732257477e-004dB,-6.67821066419983e-001°)
1.09647819614318e+002	(-9.07318378918341e-004dB,-6.69360538767377e-001°)
1.09900583943252e+002	(-9.07672653204098e-004dB,-6.70903559866595e-001°)
1.10153930954141e+002	(-9.08028562612410e-004dB,-6.72450137897667e-001°)
1.10407861990207e+002	(-9.08386114687239e-004dB,-6.74000281059483e-001°)
1.10662378397766e+002	(-9.08745317026552e-004dB,-6.75553997569828e-001°)
1.10917481526240e+002	(-9.09106177214821e-004dB,-6.77111295665422e-001°)
1.11173172728159e+002	(-9.09468702925244e-004dB,-6.78672183601970e-001°)
1.11429453359173e+002	(-9.09832901847418e-004dB,-6.80236669654207e-001°)
1.11686324778056e+002	(-9.10198781692160e-004dB,-6.81804762115931e-001°)
1.11943788346715e+002	(-9.10566350211759e-004dB,-6.83376469300060e-001°)
1.12201845430196e+002	(-9.10935615231802e-004dB,-6.84951799538669e-001°)
1.12460497396692e+002	(-9.11306584546055e-004dB,-6.86530761183035e-001°)
1.12719745617551e+002	(-9.11679266007114e-004dB,-6.88113362603680e-001°)
1.12979591467279e+002	(-9.12053667577523e-004dB,-6.89699612190419e-001°)
1.13240036323555e+002	(-9.12429797141710e-004dB,-6.91289518352404e-001°)
1.13501081567231e+002	(-9.12807662695013e-004dB,-6.92883089518163e-001°)
1.13762728582343e+002	(-9.13187272247242e-004dB,-6.94480334135654e-001°)
1.14024978756117e+002	(-9.13568633843891e-004dB,-6.96081260672294e-001°)
1.14287833478977e+002	(-9.13951755571926e-004dB,-6.97685877615029e-001°)
1.14551294144553e+002	(-9.14336645565576e-004dB,-6.99294193470351e-001°)
1.14815362149688e+002	(-9.14723311952318e-004dB,-7.00906216764362e-001°)
1.15080038894443e+002	(-9.15111762971508e-004dB,-7.02521956042816e-001°)
1.15345325782109e+002	(-9.15502006842250e-004dB,-7.04141419871156e-001°)
1.15611224219209e+002	(-9.15894051810654e-004dB,-7.05764616834564e-001°)
1.15877735615512e+002	(-9.16287906249175e-004dB,-7.07391555538017e-001°)
