time	V(vin)	V(vout)
0.000000000000000e+000	2.000000e+000	2.001956e+000
1.999999943436137e-009	1.999993e+000	2.001956e+000
3.999999886872274e-009	1.999986e+000	2.001955e+000
7.999999773744548e-009	1.999971e+000	2.001954e+000
1.599999954748910e-008	1.999943e+000	2.001951e+000
3.199999909497819e-008	1.999886e+000	2.001936e+000
4.226423117608499e-008	1.999849e+000	2.001921e+000
5.175636948471369e-008	1.999815e+000	2.001876e+000
6.309746059178681e-008	1.999775e+000	2.001749e+000
7.655834129289433e-008	1.999727e+000	2.001495e+000
8.534718116047440e-008	1.999695e+000	2.001272e+000
8.641353977546423e-008	1.999691e+000	2.001242e+000
8.854625700544386e-008	1.999684e+000	2.001178e+000
9.145610471801170e-008	1.999673e+000	2.001085e+000
9.446429486470798e-008	1.999663e+000	2.000983e+000
1.000010001000100e-007	1.999643e+000	2.000782e+000
1.000168016801680e-007	1.999643e+000	2.000781e+000
1.000326032603260e-007	1.999643e+000	2.000781e+000
1.000484048404840e-007	1.999643e+000	2.000780e+000
1.000642064206420e-007	1.999642e+000	2.000779e+000
1.000800080008000e-007	1.999642e+000	2.000779e+000
1.000958095809580e-007	1.999642e+000	2.000778e+000
1.001116111611160e-007	1.999642e+000	2.000778e+000
1.002140214021401e-007	1.999641e+000	2.000774e+000
1.004188418841882e-007	1.999638e+000	2.000766e+000
1.008284828482844e-007	1.999634e+000	2.000751e+000
1.149986998699866e-007	1.999482e+000	2.000225e+000
1.291689168916889e-007	1.999331e+000	1.999719e+000
1.433391339133911e-007	1.999179e+000	1.999232e+000
1.575093509350934e-007	1.999027e+000	1.998766e+000
1.716795679567956e-007	1.998875e+000	1.998319e+000
1.858497849784978e-007	1.998723e+000	1.997892e+000
2.000200020002001e-007	1.998572e+000	1.997485e+000
2.157502150214936e-007	1.998291e+000	1.997052e+000
2.367238323832184e-007	1.997916e+000	1.996504e+000
2.786710671066679e-007	1.997168e+000	1.995504e+000
3.000300030003000e-007	1.996786e+000	1.995041e+000
3.251983438343698e-007	1.996158e+000	1.994534e+000
3.587561316131294e-007	1.995320e+000	1.993912e+000
4.000400040004001e-007	1.994288e+000	1.993227e+000
4.201746766676559e-007	1.993642e+000	1.992924e+000
4.470209068906636e-007	1.992780e+000	1.992545e+000
5.000500050005001e-007	1.991078e+000	1.991878e+000
5.161577431343047e-007	1.990446e+000	1.991696e+000
5.376347273127108e-007	1.989604e+000	1.991467e+000
5.805886956695232e-007	1.987920e+000	1.991048e+000
6.000600060006001e-007	1.987157e+000	1.990875e+000
6.258323870146875e-007	1.985963e+000	1.990662e+000
6.601955617001374e-007	1.984372e+000	1.990400e+000
7.000700070007001e-007	1.982525e+000	1.990128e+000
7.206879118119699e-007	1.981425e+000	1.989999e+000
7.481784515603298e-007	1.979957e+000	1.989839e+000
8.000800080008001e-007	1.977187e+000	1.989569e+000
8.165743318498160e-007	1.976190e+000	1.989492e+000
8.385667636485039e-007	1.974860e+000	1.989394e+000
9.000900090009001e-007	1.971142e+000	1.989151e+000
9.264809271593256e-007	1.969361e+000	1.989060e+000
9.616688180372263e-007	1.966986e+000	1.988948e+000
1.000100010001000e-006	1.964393e+000	1.988837e+000
1.021212744527740e-006	1.962820e+000	1.988782e+000
1.049363057230061e-006	1.960723e+000	1.988712e+000
1.100000000000000e-006	1.956951e+000	1.988600e+000
1.100175388967468e-006	1.956937e+000	1.988599e+000
1.100350777934936e-006	1.956923e+000	1.988599e+000
1.100526166902403e-006	1.956909e+000	1.988599e+000
1.100701555869871e-006	1.956895e+000	1.988599e+000
1.100876944837339e-006	1.956881e+000	1.988598e+000
1.101052333804807e-006	1.956866e+000	1.988598e+000
1.101227722772275e-006	1.956852e+000	1.988598e+000
1.102354235423537e-006	1.956760e+000	1.988597e+000
1.104607260726063e-006	1.956576e+000	1.988596e+000
1.109113311331114e-006	1.956209e+000	1.988595e+000
1.163951595159592e-006	1.951741e+000	1.988646e+000
1.169204920492114e-006	1.951342e+000	1.988656e+000
1.174458245824637e-006	1.950933e+000	1.988666e+000
1.179711571157159e-006	1.950514e+000	1.988678e+000
1.184964896489682e-006	1.950086e+000	1.988691e+000
1.190218221822204e-006	1.949647e+000	1.988705e+000
1.195471547154727e-006	1.949199e+000	1.988720e+000
1.200724872487249e-006	1.948741e+000	1.988737e+000
1.300130013001300e-006	1.939950e+000	1.989039e+000
1.323725332533272e-006	1.937700e+000	1.989110e+000
1.400140014001400e-006	1.930413e+000	1.989339e+000
1.419016269626978e-006	1.928483e+000	1.989395e+000
1.500150015001500e-006	1.920188e+000	1.989634e+000
1.530153015301530e-006	1.916914e+000	1.989722e+000
1.600160016001600e-006	1.909277e+000	1.989925e+000
1.624162416241624e-006	1.906495e+000	1.989994e+000
1.700170017001700e-006	1.897685e+000	1.990212e+000
1.719371937193719e-006	1.895329e+000	1.990266e+000
1.800180018001800e-006	1.885416e+000	1.990494e+000
1.824182418241824e-006	1.882310e+000	1.990561e+000
1.900190019001901e-006	1.872474e+000	1.990772e+000
1.919391939193919e-006	1.869861e+000	1.990825e+000
2.000200020002000e-006	1.858864e+000	1.991045e+000
2.024202420242033e-006	1.855439e+000	1.991110e+000
2.100210021002100e-006	1.844592e+000	1.991315e+000
2.119411941194126e-006	1.841725e+000	1.991366e+000
2.200220022002200e-006	1.829662e+000	1.991580e+000
2.224222422242019e-006	1.825922e+000	1.991643e+000
2.300230023002300e-006	1.814080e+000	1.991842e+000
2.319431943194155e-006	1.810964e+000	1.991892e+000
2.400240024002400e-006	1.797851e+000	1.992099e+000
2.424242424247342e-006	1.793802e+000	1.992160e+000
2.500250025002500e-006	1.780981e+000	1.992353e+000
2.545054505459726e-006	1.773139e+000	1.992465e+000
2.600260026002600e-006	1.763477e+000	1.992602e+000
2.624262426124594e-006	1.759125e+000	1.992662e+000
2.700270027002700e-006	1.745344e+000	1.992848e+000
2.745074507230422e-006	1.736943e+000	1.992957e+000
2.808280829027053e-006	1.725041e+000	1.993109e+000
2.836855111654779e-006	1.719546e+000	1.993178e+000
2.865429394282505e-006	1.714004e+000	1.993246e+000
2.894003676910232e-006	1.708416e+000	1.993314e+000
2.922577959537958e-006	1.702781e+000	1.993381e+000
2.951152242165684e-006	1.697100e+000	1.993448e+000
2.979726524793410e-006	1.691373e+000	1.993515e+000
3.008300807421136e-006	1.685599e+000	1.993582e+000
3.036875174356423e-006	1.679758e+000	1.993648e+000
3.065449541291710e-006	1.673871e+000	1.993714e+000
3.094023908226998e-006	1.667939e+000	1.993780e+000
3.122598275162285e-006	1.661962e+000	1.993845e+000
3.151172642097572e-006	1.655939e+000	1.993910e+000
3.179747009032859e-006	1.649871e+000	1.993975e+000
3.208321375968146e-006	1.643758e+000	1.994040e+000
3.250952641183655e-006	1.634527e+000	1.994135e+000
3.293583906399166e-006	1.625194e+000	1.994230e+000
3.336215171614675e-006	1.615760e+000	1.994325e+000
3.378846436830185e-006	1.606224e+000	1.994419e+000
3.421477702045695e-006	1.596588e+000	1.994512e+000
3.464108967261205e-006	1.586850e+000	1.994605e+000
3.506740232476715e-006	1.577011e+000	1.994697e+000
3.548757652510543e-006	1.567193e+000	1.994787e+000
3.590775072544371e-006	1.557284e+000	1.994876e+000
3.632792492578199e-006	1.547282e+000	1.994965e+000
3.674809912612027e-006	1.537188e+000	1.995054e+000
3.716827332645855e-006	1.527002e+000	1.995142e+000
3.758844752679683e-006	1.516724e+000	1.995229e+000
3.800862172713510e-006	1.506353e+000	1.995315e+000
4.203552860059907e-006	1.400316e+000	1.996111e+000
4.606243547406303e-006	1.288006e+000	1.996863e+000
5.008934234752699e-006	1.169423e+000	1.997574e+000
5.411624922099095e-006	1.044568e+000	1.998241e+000
5.814315609445491e-006	9.134398e-001	1.998866e+000
6.217006296791887e-006	7.760390e-001	1.999449e+000
6.619696984138282e-006	6.323656e-001	1.999988e+000
7.212424352304586e-006	4.174935e-001	2.000731e+000
7.212792832984424e-006	4.173580e-001	2.000731e+000
7.212884953154384e-006	4.173240e-001	2.000731e+000
7.212991451721041e-006	4.172848e-001	2.000717e+000
7.213064047168622e-006	4.172581e-001	2.000676e+000
7.213157466419620e-006	4.172238e-001	2.000527e+000
7.213256411386572e-006	4.171874e-001	2.000170e+000
7.213256850582466e-006	4.171872e-001	2.000168e+000
7.213257728974253e-006	4.171869e-001	2.000163e+000
7.213259485757828e-006	4.171862e-001	2.000155e+000
7.213262999324977e-006	4.171849e-001	2.000137e+000
7.213267854491629e-006	4.171832e-001	2.000113e+000
7.213271145478701e-006	4.171819e-001	2.000096e+000
7.213274735442717e-006	4.171806e-001	2.000078e+000
7.213278626296440e-006	4.171792e-001	2.000058e+000
7.213284571160273e-006	4.171770e-001	2.000027e+000
7.213292203008554e-006	4.171742e-001	1.999989e+000
7.213305226596425e-006	4.171694e-001	1.999922e+000
7.213327300125792e-006	4.171613e-001	1.999809e+000
7.213371447184526e-006	4.171450e-001	1.999582e+000
7.213447011254255e-006	4.171172e-001	1.999194e+000
7.213520797015339e-006	4.170901e-001	1.998813e+000
7.213619109239613e-006	4.170539e-001	1.998304e+000
7.213742728201037e-006	4.170084e-001	1.997663e+000
7.213906828023298e-006	4.169481e-001	1.996812e+000
7.214110796854741e-006	4.168730e-001	1.995751e+000
7.214381766284090e-006	4.167733e-001	1.994342e+000
7.214728002519970e-006	4.166459e-001	1.992539e+000
7.215192724689136e-006	4.164749e-001	1.990121e+000
7.215804506861861e-006	4.162498e-001	1.986938e+000
7.216637420649728e-006	4.159433e-001	1.982612e+000
7.217776951941903e-006	4.155240e-001	1.976707e+000
7.219370798127018e-006	4.149375e-001	1.968477e+000
7.221633069925986e-006	4.141051e-001	1.956860e+000
7.224926889197284e-006	4.128931e-001	1.940084e+000
7.229807234076129e-006	4.110973e-001	1.915532e+000
7.237276850535335e-006	4.083487e-001	1.878652e+000
7.248958726668045e-006	4.040503e-001	1.822633e+000
7.267945000118745e-006	3.970640e-001	1.735732e+000
7.299735502751178e-006	3.853663e-001	1.600946e+000
7.300730073007301e-006	3.850003e-001	1.596939e+000
7.302719213519548e-006	3.842659e-001	1.588984e+000
7.306697494544041e-006	3.827969e-001	1.573169e+000
7.314654056593028e-006	3.798590e-001	1.542101e+000
7.330567180691002e-006	3.739833e-001	1.482141e+000
7.362393428886949e-006	3.622317e-001	1.370376e+000
7.400740074007401e-006	3.480725e-001	1.248932e+000
7.419835822924970e-006	3.409997e-001	1.193575e+000
7.445296821481727e-006	3.315693e-001	1.124114e+000
7.500750075007501e-006	3.110301e-001	9.890046e-001
7.527937613481050e-006	3.009326e-001	9.303663e-001
7.564187664779115e-006	2.874694e-001	8.582911e-001
7.608010086267214e-006	2.711875e-001	7.801107e-001
7.651510147824892e-006	2.549934e-001	7.107266e-001
7.706570085215392e-006	2.344916e-001	6.330330e-001
7.741370134461535e-006	2.215105e-001	5.889893e-001
7.800780078007801e-006	1.993494e-001	5.213790e-001
7.828620117404714e-006	1.889476e-001	4.927048e-001
7.865740169933933e-006	1.750785e-001	4.568188e-001
7.908214089513746e-006	1.592055e-001	4.189252e-001
7.952758152548807e-006	1.425416e-001	3.822544e-001
8.006739288412676e-006	1.223451e-001	3.414672e-001
8.042374538840726e-006	1.090019e-001	3.164386e-001
8.110312814455581e-006	8.356119e-002	2.722375e-001
8.167329215140461e-006	6.220042e-002	2.380828e-001
8.223626642282153e-006	4.110746e-002	2.065503e-001
8.263229991243060e-006	2.626599e-002	1.856425e-001
8.302833340203966e-006	1.142668e-002	1.653023e-001
8.342436689164873e-006	-3.410464e-003	1.455296e-001
8.382040038125781e-006	-1.824544e-002	1.263246e-001
8.421643387086688e-006	-3.307826e-002	1.076871e-001
8.461246736047595e-006	-4.790891e-002	8.961726e-002
8.500850085008501e-006	-6.273739e-002	7.211498e-002
8.555342559689731e-006	-8.312322e-002	4.836491e-002
8.607087797400742e-006	-1.024784e-001	2.632550e-002
8.650681777145726e-006	-1.187664e-001	8.094680e-003
8.675555023232710e-006	-1.280608e-001	-2.179541e-003
8.700428269319696e-006	-1.373504e-001	-1.238697e-002
8.725301515406681e-006	-1.466352e-001	-2.252759e-002
8.750174761493665e-006	-1.559154e-001	-3.260143e-002
8.775048007580650e-006	-1.651908e-001	-4.260846e-002
8.799921253667636e-006	-1.744615e-001	-5.254870e-002
8.824794499754620e-006	-1.837275e-001	-6.242214e-002
8.927092873676532e-006	-2.218277e-001	-1.023866e-001
9.029391247598445e-006	-2.597958e-001	-1.419828e-001
9.131689621520357e-006	-2.976318e-001	-1.812110e-001
9.233987995442269e-006	-3.353357e-001	-2.200710e-001
9.336286369364179e-006	-3.729075e-001	-2.585629e-001
9.438584743286091e-006	-4.103471e-001	-2.966867e-001
9.540883117208003e-006	-4.476546e-001	-3.344423e-001
1.000010001000100e-005	-6.125948e-001	-5.019971e-001
1.000606917834639e-005	-6.147039e-001	-5.041477e-001
1.001203834669179e-005	-6.168126e-001	-5.062984e-001
1.001800751503718e-005	-6.189208e-001	-5.084493e-001
1.002397668338257e-005	-6.210287e-001	-5.106003e-001
1.002994585172797e-005	-6.231361e-001	-5.127513e-001
1.003591502007336e-005	-6.252431e-001	-5.149025e-001
1.004188418841875e-005	-6.273497e-001	-5.170538e-001
1.005264746656502e-005	-6.311499e-001	-5.209672e-001
1.008347324088020e-005	-6.420336e-001	-5.325486e-001
1.008491352631788e-005	-6.425421e-001	-5.331027e-001
1.008548964049296e-005	-6.427456e-001	-5.333245e-001
1.008563366903672e-005	-6.427964e-001	-5.333800e-001
1.008592172612426e-005	-6.428981e-001	-5.334911e-001
1.008649784029933e-005	-6.431015e-001	-5.337131e-001
1.008665277444778e-005	-6.431562e-001	-5.337728e-001
1.008676078543855e-005	-6.431944e-001	-5.338135e-001
1.008679675421761e-005	-6.432071e-001	-5.338257e-001
1.008682984034909e-005	-6.432188e-001	-5.338346e-001
1.008684692786162e-005	-6.432248e-001	-5.338382e-001
